faction,color
Criminal,blue
Neutral,grey
Jinteki,red
Anarch,orange
Shaper,light green
Haas-Bioroid,purple
NBN,yellow
Weyland Consortium,dark green
Adam,darkolivegreen
Sunny Lebeau,darkgoldenrod1
Apex,darkred
